job_id,repo_id,repo_name,pr_id,pr_number,agent,revision,checkout_ref,base_sha,head_sha,language,codeql_language,codeql_version,query_suite,build_mode,build_command,comparison_status,status,attempts,retry_excluded,retry_excluded_reason
julep-ai_julep__pr-1209__after,781914762,julep-ai/julep,2370655155,1209,Human,after,ed036c21fb914337f344df8d2ae85c199403f2f9,5cedd9875d424ab6b4a4aae4f029ae655094650e,ed036c21fb914337f344df8d2ae85c199403f2f9,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
OpenHFT_Chronicle-Wire__pr-990__before,29301872,OpenHFT/Chronicle-Wire,2353118979,990,Human,before,fe78a56d39a084ca9d1bcf8d46534916bb4a5ca4,fe78a56d39a084ca9d1bcf8d46534916bb4a5ca4,1909c233d5c6c0ab43c39cc3b249942ad9d9861d,Java,java-kotlin,2.23.2,security-and-quality,none,,compared,completed,1,,
OpenHFT_Chronicle-Wire__pr-990__after,29301872,OpenHFT/Chronicle-Wire,2353118979,990,Human,after,1909c233d5c6c0ab43c39cc3b249942ad9d9861d,fe78a56d39a084ca9d1bcf8d46534916bb4a5ca4,1909c233d5c6c0ab43c39cc3b249942ad9d9861d,Java,java-kotlin,2.23.2,security-and-quality,none,,compared,completed,1,,
bentoml_BentoML__pr-5317__before,178976529,bentoml/BentoML,2455025552,5317,Human,before,316d60c064655cc4f5b5e317a9679bf28099fa27,316d60c064655cc4f5b5e317a9679bf28099fa27,9681f9bee9e31a71704b35e20ecafcdfe5d81ce8,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
bentoml_BentoML__pr-5317__after,178976529,bentoml/BentoML,2455025552,5317,Human,after,9681f9bee9e31a71704b35e20ecafcdfe5d81ce8,316d60c064655cc4f5b5e317a9679bf28099fa27,9681f9bee9e31a71704b35e20ecafcdfe5d81ce8,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
box_box-ui-elements__pr-3898__before,95743138,box/box-ui-elements,2318775600,3898,Human,before,4e0712b62291f97f5f0c2cbf81a89405c819495e,4e0712b62291f97f5f0c2cbf81a89405c819495e,4cfe95b023096b153b94820571653030803d4ad2,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
box_box-ui-elements__pr-3898__after,95743138,box/box-ui-elements,2318775600,3898,Human,after,4cfe95b023096b153b94820571653030803d4ad2,4e0712b62291f97f5f0c2cbf81a89405c819495e,4cfe95b023096b153b94820571653030803d4ad2,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
promptfoo_promptfoo__pr-2908__before,633927609,promptfoo/promptfoo,2306317972,2908,Human,before,1e94b43a904c0ff0eea8ba7b206901f813ef84cc,1e94b43a904c0ff0eea8ba7b206901f813ef84cc,8ff627f6987da4c6cb5beafd54948dfda0223ca2,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
promptfoo_promptfoo__pr-2908__after,633927609,promptfoo/promptfoo,2306317972,2908,Human,after,8ff627f6987da4c6cb5beafd54948dfda0223ca2,1e94b43a904c0ff0eea8ba7b206901f813ef84cc,8ff627f6987da4c6cb5beafd54948dfda0223ca2,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
box_box-ui-elements__pr-3827__before,95743138,box/box-ui-elements,2262991572,3827,Human,before,516e3fd9b1cbe018a8d153eaeb8e9468ce14ef15,516e3fd9b1cbe018a8d153eaeb8e9468ce14ef15,9921d42d04a5d2710649a418ac4c7b4ccf053ffa,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
box_box-ui-elements__pr-3827__after,95743138,box/box-ui-elements,2262991572,3827,Human,after,9921d42d04a5d2710649a418ac4c7b4ccf053ffa,516e3fd9b1cbe018a8d153eaeb8e9468ce14ef15,9921d42d04a5d2710649a418ac4c7b4ccf053ffa,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
AgentOps-AI_agentops__pr-914__before,679017521,AgentOps-AI/agentops,2448591120,914,Human,before,453f3dc1be155e895137b4d357602fa6e6e8e093,453f3dc1be155e895137b4d357602fa6e6e8e093,cf14ef2522c08c3a3b795833c74442169bb90b34,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
AgentOps-AI_agentops__pr-914__after,679017521,AgentOps-AI/agentops,2448591120,914,Human,after,cf14ef2522c08c3a3b795833c74442169bb90b34,453f3dc1be155e895137b4d357602fa6e6e8e093,cf14ef2522c08c3a3b795833c74442169bb90b34,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
reown-com_appkit__pr-4441__before,127246132,reown-com/appkit,2554385154,4441,Human,before,a8fa4fbdfb54cc185f656276929ea9635b07a4c0,a8fa4fbdfb54cc185f656276929ea9635b07a4c0,73d1743418578afff6e5e8acf48c62060e141beb,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
reown-com_appkit__pr-4441__after,127246132,reown-com/appkit,2554385154,4441,Human,after,73d1743418578afff6e5e8acf48c62060e141beb,a8fa4fbdfb54cc185f656276929ea9635b07a4c0,73d1743418578afff6e5e8acf48c62060e141beb,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
antiwork_gumroad__pr-449__before,959682770,antiwork/gumroad,2619649570,449,Human,before,9436afd5808941d67174d69bef2ef24b6c119334,9436afd5808941d67174d69bef2ef24b6c119334,0de18681e6f906aa6213cb51097a80c2c834e711,Ruby,ruby,2.23.2,security-and-quality,none,,compared,completed,1,,
antiwork_gumroad__pr-449__after,959682770,antiwork/gumroad,2619649570,449,Human,after,0de18681e6f906aa6213cb51097a80c2c834e711,9436afd5808941d67174d69bef2ef24b6c119334,0de18681e6f906aa6213cb51097a80c2c834e711,Ruby,ruby,2.23.2,security-and-quality,none,,compared,completed,1,,
