repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
lingodotdev/lingo.dev,698,ai,fix,TypeScript,2025-Q2,0.033,0.032467190137501496,2784.0,7.932003152361385,unweighted_full_sample,,fix|TypeScript,True,1.0,
liam-hq/liam,774,ai,fix,TypeScript,2025-Q1,0.013,0.012916225266546328,4194.0,8.341648618901306,unweighted_full_sample,,fix|TypeScript,True,1.0,
jina-ai/reader,1123,ai,fix,TypeScript,2025-Q1,0.007,0.006975613736425242,9021.0,9.107421317968342,unweighted_full_sample,,fix|TypeScript,True,1.0,
go-vikunja/vikunja,1154,ai,fix,Go,2025-Q3,0.215,0.19474407679251177,2080.0,7.640603826393634,unweighted_full_sample,,fix|Go,True,1.0,
ESPresense/ESPresense,1716,ai,fix,C,2025-Q2,0.005,0.004987541511039074,1259.0,7.138866999945524,unweighted_full_sample,,fix|C,True,1.0,
elizaOS/eliza,4659,ai,feat,TypeScript,2025-Q2,0.187,0.171429115627531,16507.0,9.711600390872473,unweighted_full_sample,,feat|TypeScript,True,1.0,
root-gg/plik,533,ai,fix,Go,2025-Q2,0.007,0.006975613736425242,1598.0,7.377133712833954,unweighted_full_sample,,fix|Go,True,1.0,
getsentry/sentry,95516,ai,fix,Python,2025-Q3,0.002,0.001998002662673056,41579.0,10.635374561412004,unweighted_full_sample,,fix|Python,True,1.0,
langchain-ai/langsmith-sdk,1787,ai,feat,Python,2025-Q2,0.06,0.058268908123975775,606.0,6.408528791059498,unweighted_full_sample,,feat|Python,True,1.0,
gridaco/grida,342,ai,feat,TypeScript,2025-Q2,0.09,0.08617769624105233,2138.0,7.668093709082406,unweighted_full_sample,,feat|TypeScript,True,1.0,
prebid/Prebid.js,13154,ai,refactor,JavaScript,2025-Q2,0.098,0.09349034308733889,1467.0,7.291656209174461,unweighted_full_sample,,refactor|JavaScript,True,1.0,
simonw/llm,1157,ai,fix,Python,2025-Q2,0.03,0.0295588022415444,9178.0,9.12467354521909,unweighted_full_sample,,fix|Python,True,1.0,
novuhq/novu,8514,ai,fix,TypeScript,2025-Q2,0.006,0.005982071677547464,37349.0,10.528088190560963,unweighted_full_sample,,fix|TypeScript,True,1.0,
mlflow/mlflow,16449,ai,fix,Python,2025-Q2,0.008,0.007968169649176874,21402.0,9.971286378100563,unweighted_full_sample,,fix|Python,True,1.0,
mlflow/mlflow,15881,ai,refactor,Python,2025-Q2,0.024,0.023716526617316044,21402.0,9.971286378100563,unweighted_full_sample,,refactor|Python,True,1.0,
microsoft/vscode-pull-request-github,7400,ai,feat,TypeScript,2025-Q3,0.19,0.173953307123438,2421.0,7.792348924113037,unweighted_full_sample,,feat|TypeScript,True,1.0,
camunda/camunda,34581,ai,feat,Java,2025-Q3,0.688,0.5235443961737654,3746.0,8.228710798793687,unweighted_full_sample,,feat|Java,True,1.0,
Azure/azure-sdk-for-java,45797,ai,refactor,Java,2025-Q3,0.066,0.0639133257436528,2506.0,7.826842098158293,unweighted_full_sample,,refactor|Java,True,1.0,
groupultra/telegram-search,269,ai,feat,TypeScript,2025-Q3,0.131,0.1231021971339834,2707.0,7.903965634032166,unweighted_full_sample,,feat|TypeScript,True,1.0,
